source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: * * Z = Y X | Thay thế: X bằng “” chuột táo “”, Y bằng “” việt quất “”, Z bằng “” việt quất “”, * * việt quất = chuột táo việt quất
“Quy tắc: Y X + = * | Thay thế: X bằng “” đại bàng cò “”, Y bằng “” đại bàng “"”, đại bàng cò đại bàng + = *
“Quy tắc: Z + * Z X | Thay thế: X bằng “” nho chim cánh cụt “”, Z bằng “” ngựa vằn kiwi “"”, ngựa vằn kiwi + * kiwi ngựa vằn nho
“Quy tắc: * * X Z | Thay thế: X bằng “" cò sư tử "”, Z bằng “" con dấu ngựa "”, * * * cò sư tử con dấu ngựa
“Quy tắc: - X + Y | Thay thế: X bằng “” đào “”, Y bằng “” ngựa vằn chuối “"”, - đào + ngựa vằn chuối
“Quy tắc: + Y + Z | Thay thế: Y bằng “” chuối “”, Z bằng “” chuối “"”, + chuối + chuối
“Quy tắc: * Z X - | Thay thế: X bằng “” quả táo lê “”, Z bằng “” ngựa vằn táo “"”, * táo ngựa vằn táo táo lê -
“Quy tắc: - X Z Y * | Thay thế: X bằng “” cá mập “”, Y bằng “” cá voi “”, Z bằng “” dâu tây “”, - cá voi dâu tây cá mập *
“Quy tắc: Y Y Z = + | Thay thế: Y bằng “” kiwi “”, Z bằng “” đại bàng dâu tây “"”, kiwi kiwi dâu tây đại bàng = +
“Quy tắc: * Z = X = Y | Thay thế: X bằng “" con dấu táo "”, Y bằng “" chuối trâu "”, Z bằng “" việt quất "”, * việt quất = hải cẩu táo = chuối trâu
“Quy tắc: Y + + X X | Thay thế: X bằng “" con dấu đại bàng "”, Y bằng “" sư tử "”, sư tử + + con dấu đại bàng hải cẩu
“Quy tắc: Y = = Z | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” apple “"”, ngựa vằn = = = apple
“Quy tắc: = X Z + Z | Thay thế: X bằng “” rắn hổ mang dâu đen “”, Z bằng “” dâu tây “"”, = dâu tây rắn hổ mang dâu tây + dâu tây
“Quy tắc: + = Z X * | Thay thế: X bằng “” con dấu “”, Z bằng “” nho “"”, + = con dấu nho *
“Quy tắc: + Y X * | Thay thế: X bằng “” lê ngựa vằn “”, Y bằng “” cò cá voi “"”, + cá voi cò ngựa vằn lê *
“Quy tắc: + Z - X X | Thay thế: X bằng “" sư tử "”, Z bằng “" trâu ""”, + trâu - sư tử
“Quy tắc: Y = Y | Thay thế: Y bằng “” cá voi táo “"”, cá voi táo = = cá voi táo
“Quy tắc: - + Z Z | Thay thế: Z bằng “" kiwi buffalo "”, - + kiwi buffalo kiwi buffalo
“Quy tắc: X Y + - * | Thay thế: X bằng “” apple blackberry “”, Y bằng “” apple banana “"”, apple blackberry apple apple banana + - *
“Quy tắc: - X = Y | Thay thế: X bằng “” kiwi việt quất “”, Y bằng “” blackberry “”, - kiwi blueberry = blackberry
“Quy tắc: Z X + X * | Thay thế: X bằng “” sư tử “”, Z bằng “” lê “"”, sư tử lê + sư tử *
“Quy tắc: X - * X + | Thay thế: X bằng “” ngựa vằn “"”, ngựa vằn - * ngựa vằn +
“Quy tắc: X Z * * * | Thay thế: X bằng “" trâu "”, Z bằng “" ngựa "”, ngựa trâu * * * *
“Quy tắc: Z = Z * X | Thay thế: X bằng “” chuối “”, Z bằng “” dâu ngựa vằn “"”, dâu ngựa vằn = dâu ngựa vằn * chuối
“Quy tắc: * Z = Z = Y | Thay thế: Y bằng “” con dấu “”, Z bằng “” apple “"”, * apple = apple = seal
“Quy tắc: Z + Y - + | Thay thế: Y bằng “” ngựa vằn “”, Z bằng “” chuối blackberry “"”, chuối blackberry + ngựa vằn - +
“Quy tắc: Z * X * | Thay thế: X bằng “” cá voi “”, Z bằng “” rắn hổ mang “"”, rắn hổ mang * cá voi *
“Quy tắc: Y = * Y X | Thay thế: X bằng “” rắn hổ mang chuột “”, Y bằng “” chim cánh cụt ngựa vằn “"”, chim cánh cụt ngựa vằn = * rắn hổ mang chuột ngựa vằn
“Quy tắc: - Z + Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” dâu tây kiwi “"”, - dâu tây kiwi + kiwi
“Quy tắc: X = - X Z | Thay thế: X bằng “” blackberry “”, Z bằng “” blackberry “”, blackberry = - blackberry
“Quy tắc: Z - Y * | Thay thế: Y bằng “” sư tử rắn hổ mang “”, Z bằng “” chuột chim cánh cụt “"”, chuột chim cánh cụt - sư tử rắn hổ mang *
“Quy tắc: Y + + + Z | Thay thế: Y bằng “” chim cánh cụt ngựa vằn “”, Z bằng “” cò dâu “"”, chim cánh cụt vằn + + + cò dâu
“Quy tắc: + = Z X * | Thay thế: X bằng “” chuột “”, Z bằng “” cá mập “"”, + = chuột cá mập *
“Quy tắc: Y = Z + | Thay thế: Y bằng “” ngựa vằn rắn hổ mang “”, Z bằng “” ngựa “"”, rắn hổ mang ngựa vằn = ngựa +
“Quy tắc: Y Z - + * | Thay thế: Y bằng “” chuối chim cánh cụt “”, Z bằng “” kiwi dâu “"”, chim cánh cụt chuối dâu tây kiwi - + *
“Quy tắc: + - Z X | Thay thế: X bằng “” con dấu cò “”, Z bằng “” cò táo “"”, + - cò hải cẩu táo
“Quy tắc: Y = + Y Z | Thay thế: Y bằng “” dưa hấu “”, Z bằng “” lê cá voi “"”, dưa hấu = + quả lê cá voi dưa hấu
“Quy tắc: X * * X | Thay thế: X bằng “” sư tử chuột “"”, sư tử chuột * * sư tử chuột
“Quy tắc: - Z Y = X | Thay thế: X bằng “” nho “”, Y bằng “” dưa hấu đào “”, Z bằng “” kiwi “”, - kiwi dưa hấu đào = nho
“Quy tắc: * = Z * Z X | Thay thế: X bằng “” chuối nho “”, Z bằng “” cò “"”, * = cò * cò chuối nho
“Quy tắc: + = Y X * | Thay thế: X bằng “” táo “”, Y bằng “” chuột “"”, + = táo chuột *
“Quy tắc: Z Z = * * | Thay thế: Z bằng “” ngựa vằn “"”, ngựa vằn = * *
“Quy tắc: * Y Z + | Thay thế: Y bằng “” chuột “”, Z bằng “” blackberry “"”, * rat blackberry +
“Quy tắc: - X Z Z = + | Thay thế: X bằng “” sư tử dưa hấu “”, Z bằng “” lê “”, - lê sư tử dưa hấu = +
“Quy tắc: + Y + + Z | Thay thế: Y bằng “” đại bàng đào “”, Z bằng “” lê “"”, + đại bàng đào + + lê
“Quy tắc: Z * - Y Z | Thay thế: Y bằng “" trâu "”, Z bằng “" trâu dâu "”, trâu dâu * - trâu dâu
“Quy tắc: + X Z - Y | Thay thế: X bằng “” nho “”, Y bằng “” con dấu “”, Z bằng “” con dấu “"”, + con dấu nho - con dấu
“Quy tắc: * X Y Z + | Thay thế: X bằng “” chuột việt quất “”, Y bằng “” rắn hổ mang “”, Z bằng “” con dấu rắn hổ mang “"”, * con dấu rắn hổ mang chuột việt quất +
“Quy tắc: * + + Y X Y | Thay thế: X bằng “” rắn hổ mang đào “”, Y bằng “” táo nho “"”, * + nho táo rắn hổ mang đào táo
“Quy tắc: - - Z Y + Y | Thay thế: Y bằng “” lê đào “”, Z bằng “” dâu cá mập “"”, - - cá mập dâu lê đào + lê đào
“Quy tắc: Y + + Z + | Thay thế: Y bằng “" sư tử dưa hấu "”, Z bằng “" trâu chuột "”, sư tử dưa hấu + + trâu chuột +
“Quy tắc: * Y X * | Thay thế: X bằng “” quả lê blackberry “”, Y bằng “” chuột “"”, * lê blackberry chuột *
“Quy tắc: * X Y X = * | Thay thế: X bằng “” cá mập “”, Y bằng “” rắn hổ mang hải cẩu “"”, * cá mập hải cẩu rắn hổ mang = *
“Quy tắc: - * Y + Z | Thay thế: Y bằng “” con dấu “”, Z bằng “” dưa hấu rắn hổ mang “"”, - * con dấu + rắn hổ mang dưa hấu
“Quy tắc: * X = = Y X | Thay thế: X bằng “” chuối “”, Y bằng “” ngựa sư tử “"”, * chuối = = chuối ngựa sư tử
“Quy tắc: Y Y = + - | Thay thế: Y bằng “” chim cánh cụt “"”, chim cánh cụt = + -
“Quy tắc: - Y - Y Z + | Thay thế: Y bằng “” chuối lê “”, Z bằng “” chuối kiwi “"”, - chuối lê - lê chuối chuối kiwi +
“Quy tắc: - X = X | Thay thế: X bằng “” chim cánh cụt “"”, - chim cánh cụt = chim cánh cụt
“Quy tắc: - Y Y + | Thay thế: Y bằng “” chim cánh cụt “"”, - chim cánh cụt +
“Quy tắc: - + = Y Z | Thay thế: Y bằng “” cá mập nho “”, Z bằng “” dưa hấu sư tử “"”, - + = dưa hấu sư tử cá mập nho
“Quy tắc: = Z - Z - | Thay thế: Z bằng “” rắn hổ mang “"”, = rắn hổ mang - rắn hổ mang -
“Quy tắc: - X * Z * | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” cá voi kiwi “"”, - ngựa vằn * cá voi kiwi *
“Quy tắc: Z Z + = | Thay thế: Z bằng “” ngựa “"”, ngựa + =
“Quy tắc: X - X Z + | Thay thế: X bằng “” kiwi nho “”, Z bằng “” kiwi “"”, kiwi nho - kiwi nho +
“Quy tắc: + * Z Y | Thay thế: Y bằng “” cá mập đào “”, Z bằng “” ngựa vằn “"”, + * cá mập ngựa vằn đào
“Quy tắc: Z + X = X = | Thay thế: X bằng “” chuột “”, Z bằng “” đại bàng “"”, đại bàng + chuột = chuột =
“Quy tắc: Z X + - * | Thay thế: X bằng “” sư tử “”, Z bằng “” dưa hấu việt quất “"”, dưa hấu việt quất sư tử + - *
“Quy tắc: - Z - Y Y | Thay thế: Y bằng “” cá mập “”, Z bằng “” cá mập “"”, - cá mập - cá mập
“Quy tắc: + = Y = Z Y | Thay thế: Y bằng “” chuột việt quất “”, Z bằng “” lê chuột “"”, + = chuột việt quất = chuột quả việt quất
“Quy tắc: - - X X - Z | Thay thế: X bằng “” đại bàng chuối “”, Z bằng “” nho “"”, - - đại bàng chuối đại bàng chuối - nho
“Quy tắc: - X * * Z | Thay thế: X bằng “” quả táo đại bàng “”, Z bằng “” đại bàng việt quất “"”, - táo đại bàng * * đại bàng việt quất
“Quy tắc: = Y - Z | Thay thế: Y bằng “” trâu “”, Z bằng “” con dấu blackberry “"”, = trâu - hải cẩu blackberry
“Quy tắc: * Y * * Z Z | Thay thế: Y bằng “” cò kiwi “”, Z bằng “” cò cò “"”, * cò kiwi * * cò chuột cò
“Quy tắc: X + + Y * | Thay thế: X bằng “” cá mập sư tử “”, Y bằng “” quả táo việt quất “"”, cá mập sư tử + + quả táo việt quất *
“Quy tắc: X X = Y = | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” chuối “"”, ngựa vằn = chuối =
“Quy tắc: Z = Y - + X | Thay thế: X bằng “” con dấu “”, Y bằng “” sư tử “”, Z bằng “” chuối “"”, chuối = sư tử - + con dấu
“Quy tắc: - Y * X | Thay thế: X bằng “” dưa hấu “”, Y bằng “” cò kiwi “"”, - kiwi cò * dưa hấu
“Quy tắc: Z Y = + | Thay thế: Y bằng “” blackberry “”, Z bằng “” apple rat “"”, apple rat blackberry = +
“Quy tắc: * Z Z Z = | Thay thế: Z bằng “” cá mập chuối “"”, * cá mập chuối cá mập chuối cá mập chuối cá mập =
“Quy tắc: X + X Z * - | Thay thế: X bằng “” ngựa vằn sư tử “”, Z bằng “” chuột lê “"”, ngựa vằn sư tử + sư tử ngựa vằn lê chuột * -
“Quy tắc: Z = X + | Thay thế: X bằng “” sư tử dưa hấu “”, Z bằng “” chim cánh cụt “"”, chim cánh cụt = sư tử dưa hấu +
“Quy tắc: * = Z + X | Thay thế: X bằng “” chim cánh cụt “”, Z bằng “” dưa hấu dâu “"”, * = dâu dưa hấu + chim cánh cụt
“Quy tắc: X + Y - X - | Thay thế: X bằng “” nho “”, Y bằng “” lê “"”, nho + lê - nho -
“Quy tắc: Z = Y + = | Thay thế: Y bằng “” nho blackberry “”, Z bằng “” đào “"”, đào = nho blackberry + =
“Quy tắc: * * Z - Z | Thay thế: Z bằng “” táo dâu “"”, * * táo dâu - táo dâu
“Quy tắc: + * Y X | Thay thế: X bằng “” hải cẩu “”, Y bằng “” chuột táo “"”, + * dưa hấu hải cẩu chuột táo
“Quy tắc: + - X + Y X | Thay thế: X bằng “” ngựa vằn việt quất “”, Y bằng “” ngựa vằn “"”, + - ngựa vằn việt quất + ngựa vằn việt quất
“Quy tắc: + Y * Y * | Thay thế: Y bằng “” quả việt quất nho “"”, + quả việt quất nho* quả việt quất nho *
“Quy tắc: Y + Z = | Thay thế: Y bằng “” kiwi “”, Z bằng “” dâu tây “"”, kiwi + dâu tây =
“Quy tắc: - X Y * Z | Thay thế: X bằng “” việt quất việt quất “”, Y bằng “” dưa hấu trâu “”, Z bằng “” cò “"”, - việt quất việt quất trâu dưa hấu * cò
“Quy tắc: + Y - X = | Thay thế: X bằng “” cá voi ngựa “”, Y bằng “” chim cánh cụt “"”, + chim cánh cụt - cá voi ngựa =
“Quy tắc: * + X Z | Thay thế: X bằng “” đào “”, Z bằng “” chuối chuột “"”, * + chuối chuột đào
“Quy tắc: X = Z + | Thay thế: X bằng “” dâu tây “”, Z bằng “” ngựa “"”, dâu = ngựa +
“Quy tắc: = = Z Z | Thay thế: Z bằng “” rắn hổ mang đào “"”, = = rắn hổ mang đào đào
“Quy tắc: - Z = Y | Thay thế: Y bằng “” kiwi lê “”, Z bằng “” con dấu “"”, - con dấu = kiwi lê
“Quy tắc: X X * * | Thay thế: X bằng “” táo táo “"”, táo táo táo táo * *
“Quy tắc: X X + - | Thay thế: X bằng “” đại bàng “"”, đại bàng đại bàng + -
“Quy tắc: X = - + Z | Thay thế: X bằng “” ngựa vằn “”, Z bằng “” lê đào “"”, ngựa vằn = - + lê đào
“Quy tắc: X = X + * | Thay thế: X bằng “" trâu rắn hổ mang "”, trâu rắn hổ mang = trâu rắn hổ mang + *
“Quy tắc: + Y Y - | Thay thế: Y bằng “” ngựa “"”, + ngựa ngựa -
“Quy tắc: Z Z Z - * | Thay thế: Z bằng “” con dấu “"”, con dấu con dấu - *
“Quy tắc: X = Z + - X | Thay thế: X bằng “” rắn hổ mang đào “”, Z bằng “” dâu chim cánh cụt “"”, rắn hổ mang đào = dâu chim cánh cụt + - rắn hổ mang đào
“Quy tắc: Z Y * + | Thay thế: Y bằng “” cò đại bàng “”, Z bằng “” kiwi dưa hấu “"”, dưa hấu kiwi đại bàng cò * +
“Quy tắc: = Y Z * | Thay thế: Y bằng “” lê nho “”, Z bằng “” dâu tây “"”, = dâu tây lê nho *
“Quy tắc: = Z X Y * = | Thay thế: X bằng “” cá voi đại bàng “”, Y bằng “” chuột “”, Z bằng “” đại bàng blackberry “"”, = đại bàng blackberry cá voi đại bàng * =
“Quy tắc: = - X - X | Thay thế: X bằng “” apple “"”, = - apple - apple
“Quy tắc: = Y - X = Z | Thay thế: X bằng “" ngựa vằn trâu "”, Y bằng “" cá mập chuối "”, Z bằng “" chim cánh cụt "”, = chuối cá mập - ngựa vằn trâu = chim cánh cụt
“Quy tắc: - X = Z X = | Thay thế: X bằng “” dâu tây cá voi “”, Z bằng “" hải cẩu trâu "”, - dâu tây cá voi = hải cẩu trâu cá voi dâu =
“Quy tắc: * Z Z - - | Thay thế: Z bằng “” cá mập cò “"”, * cá mập cò cò - -
“Quy tắc: Y - X - + | Thay thế: X bằng “” chim cánh cụt “”, Y bằng “” chuối blackberry “"”, chuối blackberry - chim cánh cụt - +
“Quy tắc: + X Z Y + | Thay thế: X bằng “" việt quất "”, Y bằng “" trâu "”, Z bằng “" blackberry "”, + blueberry blackberry buffalo +
“Quy tắc: Z = Y Y - = | Thay thế: Y bằng “” đại bàng việt quất “”, Z bằng “” việt quất “”, việt quất = đại bàng việt quất đại bàng - =
“Quy tắc: Y - Z Y + | Thay thế: Y bằng “” kiwi “”, Z bằng “” cá voi đào “"”, kiwi - cá voi đào kiwi +
“Quy tắc: Z X * Y * - | Thay thế: X bằng “" dưa hấu việt quất "”, Y bằng “" chuối trâu "”, Z bằng “" trâu "”, dưa hấu việt quất trâu * chuối trâu * -
“Quy tắc: - Z X = Y | Thay thế: X bằng “” sư tử kiwi “”, Y bằng “” táo “”, Z bằng “” táo “”, - táo sư tử kiwi = táo
“Quy tắc: + Y Y - | Thay thế: Y bằng “” đại bàng “"”, + đại bàng đại bàng -
“Quy tắc: + * Y X | Thay thế: X bằng “” lê cá mập “”, Y bằng “” đào “"”, + * lê cá mập đào
“Quy tắc: Y = * Y + Z | Thay thế: Y bằng “” cò táo “”, Z bằng “” kiwi dưa hấu “"”, cò táo = * cò táo + kiwi dưa hấu
“Quy tắc: * * Y Z | Thay thế: Y bằng “” đại bàng “”, Z bằng “” ngựa vằn “"”, * * ngựa vằn đại bàng
“Quy tắc: Z * Y X = * | Thay thế: X bằng “” ngựa vằn đào “”, Y bằng “” việt quất “”, Z bằng “” chuột “"”, chuột * việt quất đào ngựa vằn = *
“Quy tắc: = Y = Y Z | Thay thế: Y bằng “” cá voi đào “”, Z bằng “” cá voi đại bàng “"”, = cá voi đào = cá voi đào cá voi đại bàng
“Quy tắc: + Z X + | Thay thế: X bằng “” nho “”, Z bằng “” sư tử đào “"”, + đào sư tử nho +
“Quy tắc: Y - = Y | Thay thế: Y bằng “” cá voi “"”, cá voi voi - = cá voi
“Quy tắc: - = Z X Z * | Thay thế: X bằng “” dâu tây “”, Z bằng “” chuối “"”, - = chuối dâu chuối *
“Quy tắc: Y Y - X - * | Thay thế: X bằng “” ngựa “”, Y bằng “” nho việt quất “"”, nho việt quất việt quất nho - ngựa - *
“Quy tắc: Z + = Z Y | Thay thế: Y bằng “” con dấu ngựa vằn “”, Z bởi “” chim cánh cụt blackberry “"”, chim cánh cụt blackberry + = chim cánh cụt blackberry zebra seal
“Quy tắc: X Y * = | Thay thế: X bằng “” chuột “”, Y bằng “” kiwi việt quất “"”, quả việt quất kiwi chuột * =
“Quy tắc: + Z Z + + X | Thay thế: X bằng “” kiwi “”, Z bằng “” chuột “"”, + chuột chuột + + kiwi
“Quy tắc: X = + Y X | Thay thế: X bằng “” nho đào “”, Y bằng “” lê “"”, nho đào = + lê đào nho
“Quy tắc: - Y Z - + | Thay thế: Y bằng “” lê “”, Z bằng “” dâu chim cánh cụt “"”, - lê chim cánh cụt dâu tây - +
“Quy tắc: Z Y - * Y + | Thay thế: Y bằng “” dâu tây “”, Z bằng “” táo kiwi “"”, táo kiwi dâu tây - * dâu tây +
“Quy tắc: - = Y X X - | Thay thế: X bằng “” chim cánh cụt “”, Y bằng “” cá voi rắn hổ mang “"”, - = chim cánh cụt cá voi rắn hổ mang -
“Quy tắc: Z Z - = X | Thay thế: X bằng “" chuối chuối "”, Z bằng “" sư tử trâu "”, trâu sư tử trâu sư tử - = chuối chuối
“Quy tắc: + Y X + | Thay thế: X bằng “" rắn hổ mang trâu "”, Y bằng “" dưa hấu chuột "”, + chuột dưa hấu trâu rắn hổ mang +
“Quy tắc: * * + Y X | Thay thế: X bằng “” blackberry “”, Y bằng “” lê “"”, * * + lê blackberry
“Quy tắc: Z X + X = * | Thay thế: X bằng “" cò "”, Z bằng “" đại bàng "”, cò đại bàng + cò = *
“Quy tắc: X Y + + | Thay thế: X bằng “” chuột “”, Y bằng “” dưa hấu “"”, dưa hấu chuột + +
“Quy tắc: Z Y * * = Z | Thay thế: Y bằng “” táo “”, Z bằng “” sư tử ngựa vằn “"”, táo sư tử ngựa vằn * * = sư tử ngựa vằn
“Quy tắc: - * X = X | Thay thế: X bằng “” chuối kiwi “"”, - * chuối kiwi = chuối kiwi
“Quy tắc: Y Y Y - - | Thay thế: Y bằng “” cá mập hải cẩu “"”, hải cẩu cá mập hải cẩu cá mập hải cẩu cá mập - -
“Quy tắc: X - Y = - Z | Thay thế: X bằng “” cá mập dưa hấu “”, Y bằng “” nho “”, Z bằng “” rắn hổ mang cá mập “"”, cá mập dưa hấu - nho = - rắn hổ mang cá mập
“Quy tắc: Y X * * Z | Thay thế: X bằng “” đào “”, Y bằng “” ngựa “”, Z bằng “” cá mập “”, ngựa đào * * cá mập
“Quy tắc: X + - Z X | Thay thế: X bằng “” quả lê “”, Z bằng “” con dấu “"”, táo lê + - con dấu lê táo
“Quy tắc: Z Y X * = - | Thay thế: X bằng “” đại bàng “”, Y bằng “” dưa hấu “”, Z bằng “” chim cánh cụt “"”, chim cánh cụt đại bàng dưa hấu * = -
“Quy tắc: * Y Z Y = | Thay thế: Y bằng “" cò "”, Z bằng “" ngựa "”, * cò ngựa cò =
“Quy tắc: + Y Y X * = | Thay thế: X bằng “” chuột “”, Y bằng “” sư tử “"”, + sư tử chuột * =
“Quy tắc: Z = Z - * | Thay thế: Z bằng “” việt quất “"”, việt quất = việt quất - *
“Quy tắc: = - Z Y | Thay thế: Y bằng “” đào “”, Z bằng “” việt quất “"”, = - đào việt quất
“Quy tắc: Z - Y Z = | Thay thế: Y bằng “” cò “”, Z bằng “” chuối dưa hấu “"”, chuối dưa hấu - cò dưa hấu chuối =
“Quy tắc: X Y - - = | Thay thế: X bằng “” đào “”, Y bằng “” con dấu “"”, con dấu đào - - =
“Quy tắc: Y - X = Y | Thay thế: X bằng “” chim cánh cụt đào “”, Y bằng “” chim cánh cụt đại bàng “"”, chim cánh cụt đại bàng - chim cánh cụt đào = chim cánh cụt đại bàng
“Quy tắc: + Z + Y | Thay thế: Y bằng “” chim cánh cụt chuột “”, Z bằng “” chim cánh cụt “"”, + chim cánh cụt + chim cánh cụt chuột
“Quy tắc: + Y X - = Y | Thay thế: X bằng “” ngựa vằn “”, Y bằng “” đại bàng “"”, + ngựa vằn đại bàng - = đại bàng
“Quy tắc: - * - X Z | Thay thế: X bằng “” blackberry “”, Z bằng “” chuối “"”, - * - blackberry banana
“Quy tắc: Z Z + * Z * | Thay thế: Z bằng “” sư tử việt quất “"”, sư tử việt quất sư tử việt quất +* sư tử việt quất *
“Quy tắc: X = Z + | Thay thế: X bằng “” chim cánh cụt “”, Z bằng “” việt quất ngựa vằn “"”, chim cánh cụt = ngựa vằn việt quất +
“Quy tắc: - X = + Z | Thay thế: X bằng “” nho cá voi “”, Z bằng “” lê trâu “"”, - nho cá voi = + lê trâu
“Quy tắc: Z Y Y - = | Thay thế: Y bằng “” cá voi dưa hấu “”, Z bằng “” chuột “"”, cá voi dưa hấu chuột cá voi dưa hấu - =
“Quy tắc: Y + * * Z X | Thay thế: X bằng “" trâu "”, Y bằng “" cá voi trâu "”, Z bằng “" cò táo "”, cá voi trâu + * * * trâu táo
“Quy tắc: X Y - + | Thay thế: X bằng “” đại bàng “”, Y bằng “” cò “"”, cò đại bàng - +
“Quy tắc: X - * X Y + | Thay thế: X bằng “" nho "”, Y bằng “" chuối trâu "”, nho - * nho trâu chuối +
“Quy tắc: + * Y Y Y | Thay thế: Y bằng “” việt quất việt quất “"”, + * việt quất việt quất việt quất việt quất việt quất
“Quy tắc: + + X Y Z | Thay thế: X bằng “” blackberry “”, Y bởi “” dâu tây “”, Z bởi “” blackberry blackberry “”, + blackberry blackberry blackberry
“Quy tắc: = + Y - X | Thay thế: X bằng “” đại bàng việt quất “”, Y bằng “” nho “"”, = + nho - đại bàng việt quất
“Quy tắc: X - * Y | Thay thế: X bằng “” chuối “”, Y bằng “” cá voi cá mập “"”, chuối - * cá voi
“Quy tắc: + - Z Z | Thay thế: Z bằng “” đại bàng “"”, + - đại bàng đại bàng
“Quy tắc: Z Y Z - + | Thay thế: Y bằng “” dưa hấu dâu “”, Z bằng “” táo “"”, táo dâu tây táo dưa hấu - +
“Quy tắc: Z + = Z Y | Thay thế: Y bằng “” nho chuột “”, Z bằng “” đào “"”, đào + = nho chuột đào
“Quy tắc: = + Z Z X | Thay thế: X bằng “” ngựa “”, Z bằng “” chuối đại bàng “"”, = + đại bàng chuối đại bàng ngựa chuối
“Quy tắc: * + Z - Z | Thay thế: Z bằng “” cá mập rắn hổ mang “"”, * + cá mập rắn hổ mang - cá mập rắn hổ mang
“Quy tắc: Y * Y + + | Thay thế: Y bằng “” con dấu “"”, con dấu * con dấu + +
“Quy tắc: Z Z * X * = | Thay thế: X bằng “” cá mập “”, Z bằng “” blackberry “”, blackberry blackberry * cá mập * =
“Quy tắc: - - - Z Z | Thay thế: Z bằng “” đại bàng dâu “"”, - - - đại bàng dâu tây
“Quy tắc: * = Z Y + | Thay thế: Y bằng “” chuột “”, Z bằng “” chim cánh cụt ngựa vằn “"”, * = chuột chim cánh cụt vằn +
“Quy tắc: Y = X | Thay thế: X bằng “” nho dưa hấu “”, Y bằng “” cò đại bàng “"”, cò đại bàng = = nho dưa hấu
“Quy tắc: X = - X - | Thay thế: X bằng “” đại bàng táo “"”, đại bàng táo = - đại bàng táo -
“Quy tắc: * Y - Y X | Thay thế: X bằng “” táo ngựa “”, Y bằng “” con dấu chim cánh cụt “"”, * hải cẩu chim cánh cụt - con dấu chim cánh cụt ngựa táo
“Quy tắc: - * Z = Y | Thay thế: Y bằng “” ngựa việt quất “”, Z bằng “” ngựa vằn “"”, - * ngựa vằn = ngựa việt quất
“Quy tắc: = Y Z X + | Thay thế: X bằng “” lê “”, Y bằng “” chuối blackberry “”, Z bằng “” chim cánh cụt “"”, = chuối blackberry penguin pear +
“Quy tắc: X + * Z * | Thay thế: X bằng “" cò nho “”, Z bằng “” rắn hổ mang đại bàng “"”, cò nho + * rắn hổ mang đại bà*
“Quy tắc: + Z X + | Thay thế: X bằng “” chuối đào “”, Z bằng “” dưa hấu việt quất “"”, + dưa hấu việt quất đào chuối +
“Quy tắc: Y Z - Y + | Thay thế: Y bằng “” nho blackberry “”, Z bằng “” táo đại bàng “”, táo đại bàng nho blackberry - nho blackberry +
“Quy tắc: + Y * X | Thay thế: X bằng “" dưa hấu rắn hổ mang "”, Y bằng “" dâu trâu ""”, + dâu trâu * rắn hổ mang dưa hấu
“Quy tắc: - - = Z X Y | Thay thế: X bằng “” cò táo “”, Y bằng “” kiwi “”, Z bằng “” cò việt quất “"”, - - = cò việt quất táo kiwi
“Quy tắc: = X Z = Z | Thay thế: X bằng “” chuối đào “”, Z bằng “” nho đào “"”, = chuối đào nho = nho đào
“Quy tắc: Y X + - Y | Thay thế: X bằng “” ngựa “”, Y bằng “” táo đào “"”, ngựa táo đào + - táo đào
“Quy tắc: + Y Y = = X | Thay thế: X bằng “” chuột “”, Y bằng “” sư tử cá mập “"”, + cá mập sư tử cá mập sư tử = chuột
“Quy tắc: Z Z * - = | Thay thế: Z bằng “” chuối “"”, chuối chuối * - =
“Quy tắc: + Z Y Y + | Thay thế: Y bằng “” cò chuột “”, Z bằng “” chim cánh cụt “"”, + chim cánh cụt cò chuột cò chuột +
“Quy tắc: X * X * X | Thay thế: X bằng “” rắn hổ mang “"”, rắn hổ mang * rắn hổ mang * rắn hổ mang
“Quy tắc: * * = X Z Y | Thay thế: X bằng “" lê "”, Y bằng “" kiwi "”, Z bằng “" đào trâu "”, * * = lê đào trâu kiwi
“Quy tắc: Y + X = + | Thay thế: X bằng “” con dấu “”, Y bằng “” rắn hổ mang táo “"”, rắn hổ mang táo + con dấu = +
“Quy tắc: X * = X X | Thay thế: X bằng “” chim cánh cụt kiwi “"”, chim cánh cụt kiwi * = chim cánh cụt kiwi chim cánh cụt kiwi kiwi
“Quy tắc: = - Z Z + | Thay thế: Z bằng “” cá mập đại bàng “"”, = - cá mập đại bàng đại bàng +
“Quy tắc: - Y * X Z = | Thay thế: X bằng “” lê dưa hấu “”, Y bằng “” dâu tây “”, Z bằng “” kiwi “"”, - dâu tây * dưa hấu lê kiwi =
“Quy tắc: X - Y + X = | Thay thế: X bằng “” chuối lê “”, Y bằng “” đào “"”, lê chuối - đào + chuối lê =
“Quy tắc: = * X X X | Thay thế: X bằng “” con dấu “"”, = * con dấu con dấu
“Quy tắc: Y - + Z | Thay thế: Y bằng “” apple “”, Z bằng “” sư tử “"”, táo - + sư tử
