source,target
Rules: + * Z - | + * Z - | Z Z - * Z + | Z + * - | Result: apple rat apple rat - * apple rat +,Z Z - * Z +
Rules: - + Y Z | + Y Y - Z | - Z + Y | Y Z - + | Result: + kiwi blackberry kiwi blackberry - blueberry blueberry,+ Y Y - Z
Rules: = Y Z X * | = X Z Y * | = X Z Y * | Y Z X = * | Result: = watermelon blueberry rat peach pear *,= X Z Y *
Rules: = + Y + | + + Y Y Y = | + = Y + | + + Y = | Result: + + blueberry blackberry blueberry blackberry blueberry blackberry =,+ + Y Y Y =
Rules: + Z - | Z - + | Z + - | + - Z Z | Result: + - stork eagle stork eagle,+ - Z Z
Rules: Z * * Y = | Z * = * Y Z | * * = Z Y | Z * = * Y | Result: penguin * = * pear penguin,Z * = * Y Z
Rules: * Y + = | Y Y * + = Y | Y * = + | Y = * + | Result: seal seal * + = seal,Y Y * + = Y
Rules: * Z * * | * * * Z Z | * * Z * | Z * * * | Result: * * * stork blueberry stork blueberry,* * * Z Z
Rules: * Y Z = * | Z * * = Y | Z * * = Z Y | Z Y * = * | Result: shark blueberry * * = shark blueberry buffalo,Z * * = Z Y
Rules: X + * Y | * X + Y | * + X Y | * X + Y Y | Result: * kiwi penguin + penguin lion penguin lion,* X + Y Y
Rules: * Z Y X * | Z * Y X * | * Z Y X * | Z * X * Y | Result: * penguin grape stork cobra apple *,* Z Y X *
Rules: = Y + Y * | Y * = + | = Y * + | Y + * = | Result: = buffalo + buffalo *,= Y + Y *
Rules: - * - Z Z | * Z - - | * Z - - | * - - Z | Result: - * - banana whale banana whale,- * - Z Z
Rules: Y Z - * + | Z * - Y + | Z + * - Y | * - + Z Y | Result: apple whale + * - blueberry,Z + * - Y
Rules: Z = * Y = | Y Z Z = = * | Z = * = Y | = Y * Z = | Result: pear buffalo seal grape seal grape = = *,Y Z Z = = *
Rules: - Y * * | Y * Y - * | * - * Y | * - * Y | Result: blueberry * blueberry - *,Y * Y - *
Rules: = Y Z - - | = Z Y Z - - | Z Y = - - | - = - Y Z | Result: = rat strawberry buffalo rat strawberry - -,= Z Y Z - -
Rules: + Y * * Z | * Z + * Y | * Y Z + * | * + Y Z * | Result: * grape horse strawberry + *,* Y Z + *
Rules: = Y X + Z | + X Y = Z | Z = + Y X | + = X Z Y | Result: + eagle strawberry blackberry = horse,+ X Y = Z
Rules: Y + + X * | * Y X + + | + * Y + X | * Y + + X | Result: + * watermelon strawberry + zebra pear,+ * Y + X
Rules: - * * Y X X | - * X Y * | - X Y * * | * - Y X * | Result: - * * horse buffalo zebra zebra,- * * Y X X
Rules: X + - | X - + | + X - | X + - X | Result: stork + - stork,X + - X
Rules: = - Z X | X Z = - | X Z - = | = X Z - Z | Result: = eagle blackberry apple - blackberry apple,= X Z - Z
Rules: Y Z X * - | - X Y Z * | - * Y Z X | Y * X Z - | Result: - stork kiwi banana watermelon watermelon *,- X Y Z *
Rules: + X X Y = | + = Y X | Y X = + | + X = Y | Result: + strawberry strawberry eagle =,+ X X Y =
Rules: - Z Y = | = Y - Z | Y = - Z | = Y Z - | Result: - blueberry watermelon zebra =,- Z Y =
Rules: = Z = Y | = Z Y = | Y Z = = | Z = Y = | Result: lion = grape grape =,Z = Y =
Rules: - X - Y Z | Z Y X - - | Y - X Z - | Z X Y - - | Result: - cobra eagle - grape blackberry lion,- X - Y Z
Rules: - - X + Z | - + - Z X | - + - Z X | Z - X + - | Result: strawberry - cobra + -,Z - X + -
Rules: X * Z + Z | + X * Z | X Z * + | * Z X + | Result: whale * apple + apple,X * Z + Z
Rules: + - Z Y | - Z + Y | + Z - Y | Y + Z - | Result: watermelon + rat -,Y + Z -
Rules: Y = - X Z + | - Y = Z + X | X Z + Y = - | - Z = + Y X | Result: - seal strawberry = horse + rat,- Y = Z + X
Rules: Z = X + = | = + = Z X | = = X Z + | = X = Z + | Result: = buffalo = apple shark +,= X = Z +
Rules: Z = Z - X | Z = X - | - = X Z | X Z = - | Result: seal lion = seal lion - peach kiwi,Z = Z - X
Rules: X = * * | = X * * | * X * X = | = * X * | Result: * cobra pear * cobra pear =,* X * X =
Rules: - - + X Z | - + Z - X | - X + - Z | Z - - X + | Result: - + shark - rat,- + Z - X
Rules: + X + Y | Y + X + | X X Y + + | + Y X + | Result: zebra banana zebra banana seal kiwi + +,X X Y + +
Rules: Z Z Z + - * | * Z - + | * Z - + | Z - * + | Result: apple zebra apple zebra apple zebra + - *,Z Z Z + - *
Rules: X Z + - + | + Z - + X | + Z - + X | Z + X - + Z | Result: blueberry banana + peach cobra - + blueberry banana,Z + X - + Z
Rules: Y - Z * | Z - * Y | Y Z * - | * Y Z - | Result: pear - zebra banana *,Y - Z *
Rules: - X = - X Y | X = - Y - | - Y - = X | - - X Y = | Result: - peach = - peach horse,- X = - X Y
Rules: * Y Z - + | Z * + - Y | - Z Y * + | Y * + - Z | Result: peach * + - blueberry,Y * + - Z
Rules: = Z Y + X - | = - X Z + Y | - + = X Z Y | = Y + Z X - | Result: = seal watermelon zebra + strawberry -,= Z Y + X -
Rules: + * = Z X Y | = * Y X + Z | Z Y * X = + | + Y * = Z X | Result: + grape eagle * = blackberry shark,+ Y * = Z X
Rules: Z Y * = | * Z Y Y = | Z = * Y | Z * Y = | Result: * penguin apple penguin apple penguin =,* Z Y Y =
Rules: X * Y = | = X Y * | = * Y X | = Y X * | Result: stork * horse eagle =,X * Y =
Rules: X Z * - Y | X Z * - Y | Z Y - * X | X * - Y Z | Result: grape strawberry kiwi buffalo * - lion rat,X Z * - Y
Rules: Z + - X + | Z + X + - | X - + + Z | + - Z X + | Result: + - shark peach +,+ - Z X +
Rules: Y + X + = | + Y + X = | X = + + Y Y | + Y X + = | Result: strawberry blueberry = + + penguin lion penguin lion,X = + + Y Y
Rules: X Z = + | X + = Z | Z = X + | Z + = X | Result: zebra = grape +,Z = X +
Rules: Y - + + | + + - Y | Y + Y Y + - | - + Y + | Result: stork kiwi + stork kiwi stork kiwi + -,Y + Y Y + -
Rules: X + * = | X = + * X | = * + X | + = * X | Result: banana strawberry = + * banana strawberry,X = + * X
Rules: Z X + + | X + + Z | + Z + X | + Z X + | Result: + buffalo + blackberry,+ Z + X
Rules: Z X + + | + X Z + | X Z + + | + X + Z | Result: penguin stork + +,Z X + +
Rules: = Y X + + Z | X = + Z Y + | Z Y X = + + | Y + X + Z = | Result: cobra + lion + whale lion =,Y + X + Z =
Rules: + + Z Y | + Y Y Z + | Y + + Z | Z + Y + | Result: + whale whale pear +,+ Y Y Z +
Rules: + Y = = Z X | Z = Y + X = | = = X Z + Y | = Y = + X Z | Result: + cobra = = cobra seal,+ Y = = Z X
Rules: + - X Z | X Z - + | Z - X + | X Z + - | Result: + - eagle watermelon blackberry,+ - X Z
Rules: - X = X | = - X | X - = | = X - | Result: - whale = whale,- X = X
Rules: + = X | X + = | X + X = | = + X | Result: lion + lion =,X + X =
Rules: - Z + + X | Z Z + + X - | X + - Z + | + X - + Z | Result: zebra peach zebra peach + + buffalo -,Z Z + + X -
Rules: - = Y | Y = - | = - Y | Y Y - = | Result: pear pear - =,Y Y - =
Rules: + Y Z * | + * Z Y | * Y Z + | + * Y Z Y | Result: + * whale blueberry whale whale blueberry,+ * Y Z Y
Rules: * Y - X | - Y X * | Y X - * | * - Y X X | Result: * - shark seal horse seal horse seal,* - Y X X
Rules: Y = - X | - = X Y | X = Y - | - X Y = | Result: - = strawberry seal seal,- = X Y
Rules: + X - Y | X Y + - | X + - Y | - X Y + | Result: + stork cobra - cobra blackberry,+ X - Y
Rules: + X + Z | + + X Z | X + Z X + | Z + + X | Result: apple + blackberry apple +,X + Z X +
Rules: Z * = | = * Z | = Z * Z | = * Z | Result: = blueberry pear * blueberry pear,= Z * Z
Rules: - Z X - + | Z - + X Z - | + X - - Z | + - Z X - | Result: blackberry - + cobra whale blackberry -,Z - + X Z -
Rules: - * Z * X | * X Z - * | - * * Z X | - * * X Z | Result: - * * stork rat,- * * Z X
Rules: * = X Y | * X Y = | = Y X * | Y * = X | Result: * penguin seal whale =,* X Y =
Rules: + X * Y | Y + X * | Y * X Y + | * + Y X | Result: apple strawberry * buffalo apple strawberry +,Y * X Y +
Rules: Z = Y * X + | Z = + X * Y | X * + = Y Z | = + Y * X Z | Result: = + blackberry stork * cobra zebra blueberry,= + Y * X Z
Rules: X - * Y | X * Y - | - * X Y | X * - Y | Result: lion * - blueberry,X * - Y
Rules: = - Z + X | X + - = Z | - + Z X = | Z + X = - | Result: kiwi horse + - = zebra,X + - = Z
Rules: * + X X | X + * | X * + | * X + | Result: * + apple apple apple apple,* + X X
Rules: = Y + Y + | + = Y + | Y + = + | + + Y = | Result: = lion strawberry + lion strawberry +,= Y + Y +
Rules: Y Z = + | Y + Z = | Y Z = + | + Y Y = Z | Result: + rat peach rat peach = horse,+ Y Y = Z
Rules: * - Z | Z Z * - | Z - * | Z * - | Result: rat pear rat pear * -,Z Z * -
Rules: * + Z X - | X * - Z + Z | + - X Z * | X Z * - + | Result: blueberry * - whale + whale,X * - Z + Z
Rules: = Y * | Y * = | Y Y = * | = Y * | Result: watermelon watermelon = *,Y Y = *
Rules: - = X Z = | Z Z = = X - | = X = - Z | - X = = Z | Result: seal seal = = penguin -,Z Z = = X -
Rules: + * X + Y Y | + * Y + X | + * X + Y | + X Y + * | Result: + * eagle + buffalo buffalo,+ * X + Y Y
Rules: Z - - Y | - - Z Y | Y Y Z - - | Y - Z - | Result: eagle lion eagle lion buffalo - -,Y Y Z - -
Rules: X Y - * | * Y - X | * Y X - | Y X - * | Result: * grape - lion,* Y - X
Rules: * * X Y | * Y * X | * Y * X | Y * X * | Result: * grape buffalo * banana,* Y * X
Rules: Z * X * | * * Z X | X * * Z | X Z * * X | Result: blackberry seal grape * * blackberry seal,X Z * * X
Rules: * Y + * Z | + * Z Y * | Z * + * Y | Z Y * * + | Result: + * blackberry grape *,+ * Z Y *
Rules: * X * Z | * X * Z | X Z * * | X * * Z | Result: peach * * horse cobra,X * * Z
Rules: + Y = | = + Y | Y Y = + Y | Y = + | Result: grape horse grape horse = + grape horse,Y Y = + Y
Rules: Y + Z = Z - | Y + = - Z | Y - Z = + | + Y = - Z | Result: penguin seal + shark = shark -,Y + Z = Z -
Rules: Z + = Y | = Z + Z Y | = Y + Z | Z + = Y | Result: = lion cobra + lion cobra shark,= Z + Z Y
Rules: * + Y * | * * Y + | Y Y + * * | * Y + * | Result: horse horse + * *,Y Y + * *
Rules: + Z X = | + Z X = Z | + = X Z | = + X Z | Result: + lion seal = lion,+ Z X = Z
Rules: - = Z | = Z - Z | - = Z | - Z = | Result: = pear - pear,= Z - Z
Rules: + Y + | + Y + Y Y | Y + + | + Y + | Result: + banana eagle + banana eagle banana eagle,+ Y + Y Y
Rules: X = Y = | X = = Y | Y = = X | Y = X = | Result: whale = lion strawberry =,X = Y =
Rules: Y = = + | Y = Y = + | + Y = = | = + = Y | Result: penguin = penguin = +,Y = Y = +
Rules: X = Z + Y = | Y + = Z = X | X Z Y + = = | + X = = Y Z | Result: apple banana = grape grape + whale whale =,X = Z + Y =
Rules: Y Z * + Z | Z Y * + | Z + Y * | Z + * Y | Result: rat watermelon horse * + horse,Y Z * + Z
Rules: * - Y Z - | - Z Y * - | - * Z - Y | Z - * Y - | Result: * - eagle blackberry strawberry -,* - Y Z -
Rules: X Z + + | X X Z + + | + Z X + | X Z + + | Result: horse horse kiwi buffalo + +,X X Z + +
Rules: Z + * - | + - * Z | * + - Z | - + Z * Z | Result: - + cobra * cobra,- + Z * Z
Rules: Y X * * | Y X * * | X Y * * | * * Y X | Result: watermelon seal blueberry * *,Y X * *
Rules: * * Z Y | Z * Y * | Z * * Y | Z Y * * | Result: * * pear pear rat blackberry,* * Z Y
Rules: - Y = | = - Y | Y Y Y = - | = - Y | Result: buffalo apple buffalo apple buffalo apple = -,Y Y Y = -
Rules: * = Z Y | * Z Y = | Y * = Z Y | Z * Y = | Result: buffalo * = strawberry penguin buffalo,Y * = Z Y
Rules: = Y * Z Y = | Z * Y = = | = Y * = Z | = Z = Y * | Result: = cobra * strawberry lion cobra =,= Y * Z Y =
Rules: Y - Z + | - Y Z + | - Y + Z | - + Z Z Y | Result: - + blackberry blackberry watermelon,- + Z Z Y
Rules: + + X Y | Y X + + | X + X + Y | + + X Y | Result: rat + rat + rat,X + X + Y
Rules: Z + = X X + | = + Z X + | = + Z + X | X Z + = + | Result: strawberry penguin + = banana banana +,Z + = X X +
Rules: X Y + = | Y X + = | + Y X = | Y X = + | Result: pear strawberry buffalo stork + =,Y X + =
Rules: Z = = | = Z = | Z = = | = Z = Z | Result: = zebra strawberry = zebra strawberry,= Z = Z
Rules: + * Y X = | = X * Y + | Y X + = * | = Y + X * | Result: + * blackberry blueberry =,+ * Y X =
Rules: Z Y X = * | Z = * Y X | Y = X * Z | = Z * X Y | Result: stork pear = * eagle cobra pear kiwi,Z = * Y X
Rules: = Y * * Z | = * Y * Z | = * * Y Z | * = Z * Y Z | Result: * = penguin * blueberry grape penguin,* = Z * Y Z
Rules: X Y + + | X + Y + | + X + Y | + X Y + | Result: + peach grape +,+ X Y +
Rules: + Y * - Y | - + Y * | - * + Y | - Y * + | Result: + watermelon * - watermelon,+ Y * - Y
Rules: Y - + Y Z + | Y + - + Z | + Y + - Z | - + Z Y + | Result: stork cobra - + stork cobra pear buffalo +,Y - + Y Z +
Rules: * Y - Z | * Z Y - | Y * - Z | Y * - Z | Result: buffalo * - blackberry,Y * - Z
Rules: - = X Y | X - = Y | - Y X = | = Y X - | Result: - = strawberry blackberry strawberry buffalo,- = X Y
Rules: + Y X = | X = + Y | = Y X + | Y X = + X | Result: eagle horse horse stork = + horse stork,Y X = + X
Rules: * X * Z Y | * Y Z X * | * * Y Z X | X * Y Z * | Result: * peach whale * zebra lion,* X * Z Y
Rules: = X + Z - | X = - + Z | - + = X Z | - Z + X = | Result: blackberry = - + eagle,X = - + Z
Rules: X Z + + - | - + Z + X | X + - Z + | Z - + Z + X | Result: penguin - + penguin + zebra,Z - + Z + X
Rules: = X Y * Z | X * = Z Y | Y = X Z * | Z = X Y * | Result: seal peach = pear blueberry penguin *,Y = X Z *
Rules: = + = X Y | = X + Y = | + Y X = = | X = + = Y | Result: = seal + lion pear =,= X + Y =
Rules: - Z Y * | Z - * Y | Y - * Z | - Z * Y | Result: - pear pear * strawberry lion,- Z * Y
Rules: + + Z Y | + + Y Z | + Y Z Y + | + Y Z + | Result: + pear banana strawberry pear banana +,+ Y Z Y +
Rules: = X Z = | X = Z = | = Z X = | = = X Z | Result: = watermelon stork strawberry blueberry =,= Z X =
Rules: * - * Y Z Y | * - Y Z * | * Z Y - * | Z * Y * - | Result: * - * apple grape peach buffalo apple grape,* - * Y Z Y
Rules: - X Z - | Z - X - | - X - Z | Z - X - | Result: watermelon - strawberry cobra -,Z - X -
Rules: + * X * Y | X * + Y * | * Y * X + | Y * * X + | Result: banana * + apple banana *,X * + Y *
Rules: * = Z Y X | Y * Z X = | Y Z * X = | = Y * Z X | Result: = grape banana * eagle blackberry pear,= Y * Z X
Rules: + = Y - | - Y + = | - Y = Y Y + | Y + = - | Result: - blueberry watermelon = blueberry watermelon blueberry watermelon +,- Y = Y Y +
Rules: Z = X = | = = X Z | X Z = = | = Z X = | Result: = = lion stork whale,= = X Z
Rules: * X Y + | * + Y X | + Y X * | Y * + X | Result: banana kiwi * + eagle,Y * + X
Rules: + Z Y = X | = Y + X Z | = X Y Z + | + Y = Z X | Result: = pear rat eagle rat kiwi pear +,= X Y Z +
Rules: = Y = X - | X = = Y - Y | = = - Y X | X = Y - = | Result: zebra kiwi = = blueberry - blueberry,X = = Y - Y
Rules: = X Z - | X - = Z | = X - X Z | X = Z - | Result: = whale - whale apple banana,= X - X Z
Rules: * - Y - X | * Y - - X | Y X - - * | Y X - * - | Result: blueberry whale - - *,Y X - - *
Rules: * X Y + | X * Y + | + * Y X | + Y X Y * | Result: + rat zebra horse rat *,+ Y X Y *
Rules: Y - - X * | Y - X - * Y | - Y - X * | * - X Y - | Result: banana rat - grape whale - * banana rat,Y - X - * Y
Rules: Z Y * - | Y - * Z Y | Z * - Y | - Z * Y | Result: stork - * watermelon strawberry stork,Y - * Z Y
Rules: X = = * Y Z | Z = = X * Y | * X = Z = Y | Z = X = * Y | Result: * peach buffalo = whale blackberry = blueberry penguin,* X = Z = Y
Rules: Y + X * | X Y + X * | Y X * + | * Y + X | Result: penguin seal stork + penguin seal *,X Y + X *
Rules: - X * Z = | - X = Z Z * | * Z X = - | Z - * = X | Result: - apple rat = kiwi peach kiwi peach *,- X = Z Z *
Rules: - - Y | - Y Y Y - | Y - - | - - Y | Result: - pear apple pear apple pear apple -,- Y Y Y -
Rules: X - + Z - | - Z + - X | - Z + - X | - Z + X - | Result: - shark stork + eagle seal -,- Z + X -
Rules: - X Z Y + | Y X Z - + | Z Y X + - | X - Y + Z | Result: blackberry - apple horse + cobra blueberry,X - Y + Z
Rules: + X + Z | + X + Z | + X Z + | Z + + X Z | Result: kiwi + + grape kiwi,Z + + X Z
Rules: = + X Y | = Y + X | Y + = X | X = + Y | Result: = + lion buffalo pear,= + X Y
Rules: + X = Z - | X - = + Z | + X Z - = | + X Z - = | Result: + buffalo rat zebra - =,+ X Z - =
Rules: Z * + X | Z X + * Z | Z X + * | Z X * + | Result: strawberry buffalo + * strawberry,Z X + * Z
Rules: + X Z = | + = Z X | X + Z Z = | X = + Z | Result: whale blueberry + pear pear =,X + Z Z =
Rules: X Y - + | - Y X + | - Y X + | + X - Y | Result: - cobra horse rat +,- Y X +
Rules: X Y X = = | = Y = X | = X Y = | X = = Y | Result: zebra rat shark zebra rat = =,X Y X = =
Rules: - + X | + X X - | - X + | + X - | Result: + kiwi kiwi -,+ X X -
Rules: Y - Z X = | Y Z = - X | Z Y X = - | Y - X Z = | Result: kiwi - apple grape seal =,Y - X Z =
Rules: X * - Z * | - X * Z * | X * * - Z | * Z X * - | Result: * whale zebra strawberry shark * -,* Z X * -
Rules: * - X Y | X Y X * - | Y * - X | X - * Y | Result: strawberry shark eagle whale strawberry shark * -,X Y X * -
Rules: + + X Y | + Y X + | + X X Y + | Y + + X | Result: + banana banana apple shark +,+ X X Y +
Rules: - + X Y | X + - Y | X + - Y | X - Y + | Result: - + apple penguin penguin,- + X Y
Rules: * Y = - X | X * - = Y | - X Y = * | - * X Y = | Result: blueberry zebra * - = stork,X * - = Y
Rules: * X + Z | * Z X + X | Z + * X | * Z X + | Result: * kiwi penguin blueberry + blueberry,* Z X + X
Rules: * * + X | + * X X * X | X * * + | + * * X | Result: + * shark banana shark banana * shark banana,+ * X X * X
Rules: Z - X - + | + X - Z - | Z - + - X | - + X - Z | Result: penguin buffalo - + - seal,Z - + - X
Rules: Y X = * | = X * Y | * X Y = | Y X = * | Result: * whale cobra watermelon =,* X Y =
Rules: - Y Y * X | X Y - * | - Y * X | * - Y X | Result: - apple apple * apple stork,- Y Y * X
Rules: - Z = Z | Z - = | - Z = | Z - = | Result: - eagle apple = eagle apple,- Z = Z
Rules: X = Z = = | X = Z = X = | = = X Z = | = Z = X = | Result: rat = lion = rat =,X = Z = X =
Rules: X * = X Z | * = Z X | = Z * X | = X * Z | Result: apple * = apple banana grape,X * = X Z
Rules: * - X - Z | * X - Z - | Z - X * - | X - Z - * | Result: apple - whale - *,X - Z - *
Rules: = Z * X Y | Z X Y = * | Y * = X Z | * Y = X Z | Result: * buffalo = horse strawberry lion,* Y = X Z
Rules: - = * Y | * Y = Y - Y | Y * = - | Y - * = | Result: * stork apple = stork apple - stork apple,* Y = Y - Y
Rules: Y - X - | - X - Y | - X - Y | Y Y X - - | Result: blueberry blueberry pear - -,Y Y X - -
Rules: - = X Y | = Y - X | Y X = - | - = Y X | Result: seal strawberry cobra rat = -,Y X = -
Rules: Z * Z - Z | - Z * | * - Z | - * Z | Result: blueberry * blueberry - blueberry,Z * Z - Z
Rules: X = Y = | = X = Y | = = X Y | Y = X = | Result: = lion = strawberry,= X = Y
Rules: Y = + X + | = + Y + X | + = + X Y | Y + X + = | Result: + = + eagle shark whale peach,+ = + X Y
Rules: - - X | X X - - X | - X - | X - - | Result: apple blackberry apple blackberry - - apple blackberry,X X - - X
Rules: - Z + | - Z + Z Z | Z - + | Z - + | Result: - blackberry zebra + blackberry zebra blackberry zebra,- Z + Z Z
Rules: = Y + = Z X | + = Y = Z X | + X = Z = Y | + Y = X = Z | Result: + lion blackberry = buffalo stork = shark watermelon,+ X = Z = Y
Rules: + = Z X Y | Z X Y + = | X = Z + Y | Z X + Y = | Result: apple blackberry + blueberry seal =,Z X + Y =
Rules: * + * Z | Z * * + | Z * Z * + | + * * Z | Result: kiwi stork * kiwi stork * +,Z * Z * +
Rules: * Z - | Z * - | - Z * | * Z Z - | Result: * blueberry blueberry -,* Z Z -
Rules: X * Z = | X * = Z | = * X Z | = Z X * Z | Result: = lion watermelon eagle * lion,= Z X * Z
Rules: Y - = Z = | Z - Y = = | = Z - Y Y = | Y Z - = = | Result: = stork - blackberry blackberry =,= Z - Y Y =
Rules: - X - + | - X - + | X + - X - | - - + X | Result: cobra + - cobra -,X + - X -
Rules: X X * * * | * * X * | X * * * | * X * * | Result: penguin buffalo penguin buffalo * * *,X X * * *
Rules: - Z Y + | Z + - Y | Y - Z + | Y Z - Z + | Result: horse seal - seal +,Y Z - Z +
Rules: * + Y | + Y * | Y + Y * | + Y * | Result: apple + apple *,Y + Y *
Rules: Y X - - * Z | - X * Y - Z | Y - - Z X * | Z - - * Y X | Result: shark - - cobra banana blackberry *,Y - - Z X *
Rules: X = Z - | Z = - X | Z - = X | - Z X = | Result: - blackberry stork zebra =,- Z X =
Rules: X Z * Y = | X = * Y Z | = Y X * Z | Y = Z * X | Result: blueberry = seal * watermelon kiwi,Y = Z * X
Rules: = Y = - X | Y = - = X Y | - = X = Y | X = = Y - | Result: buffalo horse = - = eagle buffalo horse,Y = - = X Y
Rules: + = X Y = | Y = = X + | = Y X = + | + Y X = = | Result: = seal peach = +,= Y X = +
Rules: = * = Z Y | Y = Z Z * = | Y Z * = = | = Z = * Y | Result: grape = pear apple pear apple * =,Y = Z Z * =
Rules: + X - - Y | Y - X - + | X - + - Y | + X - - Y | Result: + pear whale - - cobra watermelon,+ X - - Y
Rules: - Y Z + - | - Y + - Y Z | - Y Z + - | - Z Y + - | Result: - lion + - lion eagle,- Y + - Y Z
Rules: * X + Y | * + X Y | X Y * + | + X Y * | Result: apple buffalo blackberry zebra * +,X Y * +
Rules: + X * Z - | + * X - Z | X + * - Z | - * + Z Z X | Result: - * + shark shark stork,- * + Z Z X
Rules: Y X = * * Z | Z * Y X = * | Y Z X * = * | Y X * = Z * | Result: blackberry apple * = strawberry zebra *,Y X * = Z *
Rules: Z + = | + Z = | Z + = | Z = Z + | Result: pear strawberry = pear strawberry +,Z = Z +
Rules: Y Z + * | * Z + Y | + Z Y * | * Z + Y | Result: kiwi watermelon shark + *,Y Z + *
Rules: = = = Z | = = Z = | Z = = = | Z = = Z = | Result: banana = = banana =,Z = = Z =
Rules: = Y X Z = | Y Z X = = | Y Z X = = | = Z = X Y | Result: penguin blueberry stork eagle pear = =,Y Z X = =
Rules: X + Y + - | + X - Y + | + X Y - + | + X + Y - | Result: + kiwi + kiwi strawberry -,+ X + Y -
Rules: Y * * * | * * * Y | * Y * * | * Y * * Y | Result: * banana * * banana,* Y * * Y
Rules: = + Y | = + Y | + = Y | Y Y + Y = | Result: zebra apple zebra apple + zebra apple =,Y Y + Y =
Rules: - X * Y Y = | X - Y = * | * = - X Y | * X = Y - | Result: - buffalo penguin * buffalo apple buffalo apple =,- X * Y Y =
Rules: Y = X Z + | = + Y X Z | Y = + X Z | Z X + Y = | Result: whale = + pear whale kiwi,Y = + X Z
Rules: * Y + Z | Z Y + * | * Y + Z | Z * + Y | Result: grape banana watermelon + *,Z Y + *
Rules: = Z X * = | = * X = Z | = = X * Z | * X Z = = | Result: = * penguin eagle = peach,= * X = Z
Rules: + X Z = * | X Z * + = | * X + Z = | Z X = + * | Result: buffalo apple blackberry = + *,Z X = + *
Rules: Z = Z - = | = - Z = | = = - Z | Z = - = | Result: stork = stork - =,Z = Z - =
Rules: X = Y X + | X = + Y | = Y X + | + X Y = | Result: grape cobra = lion buffalo grape cobra +,X = Y X +
Rules: Z Y * + X | Y * Z + X | X Y + Z * | + Z X Y * | Result: + watermelon watermelon eagle lion *,+ Z X Y *
Rules: - X = Z | = - Z X Z | Z = - X | Z X - = | Result: = - blueberry lion shark blueberry,= - Z X Z
Rules: * - - X | - - * X | X X - * - | * - - X | Result: grape grape - * -,X X - * -
Rules: * + Z Y | * Y Z Z + | * Z + Y | + Y * Z | Result: * peach shark eagle shark eagle +,* Y Z Z +
Rules: + Z X = | + = X Z | = + Z X | = X Z + | Result: + = grape lion,+ = X Z
Rules: Z * Y Y = + | * Y = + Z | = Z * + Y | + = Z Y * | Result: watermelon peach * zebra zebra = +,Z * Y Y = +
Rules: * = X Z * | * = X Z * | * Z = X * | * X Z * = | Result: * apple = blueberry *,* Z = X *
Rules: + Z X Y = = | Z X = Y = + | = Z X + = Y | = + X Y Z = | Result: + penguin peach buffalo apple = =,+ Z X Y = =
Rules: * X Z - = | - Z * = X | * X Z X = - | Z = - * X | Result: * pear seal blackberry pear seal = -,* X Z X = -
Rules: X Y = - Y = | Y = - = X | X Y = = - | - X = = Y | Result: lion zebra = - zebra =,X Y = - Y =
Rules: X * - X | * X - | - * X | * - X | Result: zebra * - zebra,X * - X
Rules: * + Z Y | Y + Z Z * | + Z * Y | + Z Y * | Result: shark strawberry + apple apple *,Y + Z Z *
Rules: = Y Z * | * Y = Z | = * Z Y | Y Z = * | Result: watermelon lion zebra kiwi = *,Y Z = *
Rules: Z + = X | X Z + = | = Z + X | + Z = X | Result: + rat = watermelon strawberry,+ Z = X
Rules: Z * - + | + Z - Z * | Z * - + | + - Z * | Result: + rat whale - rat whale *,+ Z - Z *
Rules: Y + = * Z | * Y Z + = | Z * Y + = | + Y = * Z | Result: * stork lion pear horse + =,* Y Z + =
Rules: + X Y = | + X Y = | + X Y = | X Y + = X | Result: peach eagle seal rat + = peach eagle,X Y + = X
Rules: Y * * + X | Y * X * + | X Y * * + | Y X * + * | Result: shark cobra banana * * +,X Y * * +
Rules: = - Y | Y = - | Y - Y = | = Y - | Result: rat shark - rat shark =,Y - Y =
Rules: + = Z - X | = + X Z - | - Z X = + | + Z X - = | Result: + rat stork - =,+ Z X - =
Rules: X = * Z Y * | X * Z Y * = | * Z Y = * X | = * Y * X Z | Result: = * eagle * blackberry stork whale,= * Y * X Z
Rules: - Y Y + Y = | = Y - + | Y = + - | Y + - = | Result: - banana banana + banana =,- Y Y + Y =
Rules: - Y * X | X * Y - | Y X * - | * - X Y | Result: - pear blackberry * apple kiwi,- Y * X
Rules: Y Z = = | = = Y Z | = Z Y = | Z = = Y | Result: cobra = = buffalo,Z = = Y
Rules: + = Z Z Z | + = Z | + = Z | + = Z | Result: + = stork shark stork shark stork shark,+ = Z Z Z
Rules: Z - + Y X | - Z X + Y | X Y - Z + | X + - Z Y | Result: shark peach - + banana peach buffalo zebra,Z - + Y X
Rules: - Z Z - Z * | * Z - - | * Z - - | - - Z * | Result: - watermelon horse watermelon horse - watermelon horse *,- Z Z - Z *
Rules: Z + X = Z | Z = X + | Z X + = | = + X Z | Result: stork + kiwi pear = stork,Z + X = Z
Rules: X + - * Y | Y + * X - | - + X Y * | X * Y + - X | Result: kiwi apple * shark + - kiwi apple,X * Y + - X
Rules: = - Y X Z + | Z + - X = Y | - = Y Z X + | + X Y Z = - | Result: - = peach whale horse +,- = Y Z X +
Rules: Z * * | Z * * | * * Z Z | Z * * | Result: * * shark shark,* * Z Z
